id,tissue,mes,epi,p,b vs c,c vs d,d vs b,poverall,p1,p2,p3
C5a,12605.00 ,14389.00 ,15401.00 ,0.001,0.187751046,0.580974411,0.090135712,FALSE,FALSE,FALSE,FALSE
TRAIL,3420.00 ,15776.00 ,2857.00 ,0.002,1.07E-05,8.96E-06,0.015013002,FALSE,TRUE,TRUE,FALSE
RAGE,504.00 ,2279.00 ,474.00 ,0.003,1.55E-06,9.65E-07,0.675883798,FALSE,TRUE,TRUE,FALSE
Renin 1,2254.00 ,3767.00 ,4050.00 ,0.003,0.004363196,0.549507029,0.004844816,FALSE,FALSE,FALSE,FALSE
MIG,757.00 ,2212.00 ,711.00 ,0.004,0.001501667,0.001410678,0.415611426,FALSE,FALSE,FALSE,FALSE
SDF-1a,2412.00 ,3313.00 ,3467.00 ,0.004,0.001255359,0.47562608,0.001875238,FALSE,FALSE,FALSE,FALSE
Gremlin,189.00 ,20381.00 ,25236.00 ,0.005,3.13E-06,0.014634976,4.63E-08,FALSE,TRUE,FALSE,TRUE
IL-2 Ra,1299.00 ,1009.00 ,946.00 ,0.005,0.086239964,0.527821277,0.059966768,FALSE,FALSE,FALSE,FALSE
IL-17B,840.00 ,1616.00 ,1784.00 ,0.005,1.27E-05,0.070852911,2.41E-05,FALSE,TRUE,FALSE,TRUE
BAFF R,774.00 ,2065.00 ,2259.00 ,0.005,0.000292502,0.30635432,2.07E-06,FALSE,TRUE,FALSE,TRUE
IGFBP-5,36802.00 ,32399.00 ,41299.00 ,0.007,0.017623164,8.55E-05,0.025197137,FALSE,FALSE,TRUE,FALSE
B7-1,621.00 ,2019.00 ,2438.00 ,0.007,6.68E-07,0.05346424,4.63E-05,FALSE,TRUE,FALSE,TRUE
ADAMTS1,1128.00 ,1829.00 ,2131.00 ,0.007,0.000339788,0.048215588,2.06E-05,FALSE,TRUE,FALSE,TRUE
Kremen-1,3690.00 ,4430.00 ,5465.00 ,0.007,0.012773747,0.048605497,0.005143957,FALSE,FALSE,FALSE,FALSE
CXCL16,7109.00 ,49096.00 ,63418.00 ,0.007,1.07E-05,0.009038875,1.91E-07,FALSE,TRUE,FALSE,TRUE
